Is Duplicate Row?,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Location,Above Ground Sighter Measurement,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Lat/Long,Lat/Long - Split 1,Lat/Long - Split 2
Unique,-73.956975997,40.793149745,35F-PM-1012-03,35F,PM,10122018,3,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",Above Ground,7,False,False,True,True,True,False,False,False,False,False,False,False,True,POINT (-73.9569759970802 40.79314974522941),POINT,(-73.9569759970802 40.79314974522941)
Unique,-73.956503571,40.793738271,36F-AM-1017-04,36F,AM,10172018,4,Juvenile,Gray,White,Gray+White,Ground Plane,FALSE,True,False,False,True,True,True,False,False,False,False,True,False,True,POINT (-73.9565035705619 40.7937382705056),POINT,(-73.9565035705619 40.7937382705056)
Unique,-73.954522559,40.795607466,39F-AM-1014-03,39F,AM,10142018,3,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,False,True,POINT (-73.9545225586988 40.7956074663106),POINT,(-73.9545225586988 40.7956074663106)
Unique,-73.977180010,40.770886313,5C-PM-1010-03,05C,PM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,False,True,POINT (-73.9771800098131 40.7708863131336),POINT,(-73.9771800098131 40.7708863131336)
Unique,-73.975809363,40.773470274,8B-PM-1012-09,08B,PM,10122018,9,Adult,Gray,Cinnamon,Gray+Cinnamon,Above Ground,,True,False,True,False,False,False,False,False,False,False,False,False,True,POINT (-73.975809362521 40.7734702737835),POINT,(-73.975809362521 40.7734702737835)
Unique,-73.969312009,40.771096102,9H-PM-1018-07,09H,PM,10182018,7,Adult,Gray,,Gray+,,,False,False,False,False,True,False,False,False,False,False,False,False,False,POINT (-73.9693120090055 40.771096102012),POINT,(-73.9693120090055 40.771096102012)
Unique,-73.968491071,40.776881164,15F-PM-1010-05,15F,PM,10102018,5,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9684910712272 40.7768811640021),POINT,(-73.9684910712272 40.7768811640021)
Unique,-73.956582419,40.797312051,40D-AM-1013-06,40D,AM,10132018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,Above Ground,15,True,False,True,False,True,True,False,False,False,True,False,False,True,POINT (-73.9565824187667 40.797312050952),POINT,(-73.9565824187667 40.797312050952)
Unique,-73.962884296,40.793804857,34A-PM-1013-01,34A,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,True,True,False,False,False,False,False,False,False,False,POINT (-73.9628842960118 40.7938048572403),POINT,(-73.9628842960118 40.7938048572403)
Unique,-73.959166716,40.793760212,35D-PM-1013-07,35D,PM,10132018,7,Juvenile,Gray,White,Gray+White,Above Ground,12,False,False,True,False,False,False,False,False,False,True,False,True,False,POINT (-73.95916671628011 40.7937602121568),POINT,(-73.95916671628011 40.7937602121568)
